Layer1,Layer2,Layer3
blaOXA-48,Other STs,Netherlands
blaOXA-48,ST10,Norway
blaOXA-244,ST10,Norway
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-162,ST10,Others
blaOXA-48,ST10,Lebanon
blaOXA-204,ST10,Canada
blaOXA-181,ST10,Australia
blaOXA-48,ST10,Lebanon
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-181,ST10,Germany
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-181,ST10,Qatar
blaOXA-244,ST10,Qatar
blaOXA-244,ST10,Germany
blaOXA-162,ST10,Others
blaOXA-181,ST10,Qatar
blaOXA-181,ST10,Australia
blaOXA-181,ST10,United Kingdom
blaOXA-48,ST10,Others
blaOXA-48,ST10,Others
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Germany
blaOXA-48,ST10,United Kingdom
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-181,ST10,Lebanon
blaOXA-48,ST10,Switzerland
blaOXA-48,ST10,Switzerland
blaOXA-48,ST10,Australia
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-181,ST10,USA
blaOXA-244,ST10,Others
blaOXA-244,ST10,Lebanon
blaOXA-244,ST10,Lebanon
blaOXA-48,ST10,USA
blaOXA-244,ST10,USA
blaOXA-244,ST10,Lebanon
blaOXA-244,ST10,Others
blaOXA-244,ST10,Others
blaOXA-244,ST10,Others
blaOXA-244,ST10,Others
blaOXA-244,ST10,Others
blaOXA-244,ST10,Others
blaOXA-48,ST10,Netherlands
blaOXA-181,ST10,Others
blaOXA-244,ST10,Others
blaOXA-244,ST10,Others
blaOXA-244,ST10,Others
blaOXA-244,ST10,Lebanon
blaOXA-244,ST10,Lebanon
blaOXA-48,ST10,Singapore
blaOXA-162,ST10,Germany
blaOXA-181,ST10,Germany
blaOXA-181,ST10,Germany
blaOXA-181,ST10,Germany
blaOXA-244,ST10,Germany
blaOXA-48,ST10,Germany
blaOXA-48,ST10,Germany
blaOXA-48,ST10,Germany
blaOXA-48,ST10,Germany
blaOXA-48,ST10,Germany
blaOXA-48,ST10,Germany
blaOXA-48,ST10,Germany
blaOXA-48,ST10,Germany
blaOXA-48,ST10,Germany
blaOXA-244,ST10,Netherlands
blaOXA-244,ST10,Netherlands
blaOXA-244,ST10,Netherlands
blaOXA-48,ST10,Netherlands
blaOXA-244,ST10,Poland
blaOXA-244,ST10,Poland
blaOXA-244,ST10,Poland
blaOXA-244,ST10,Poland
blaOXA-244,ST10,Slovenia
blaOXA-244,ST10,Slovenia
blaOXA-244,ST10,Slovenia
blaOXA-244,ST10,Slovenia
blaOXA-244,ST10,Slovenia
blaOXA-244,ST10,Slovenia
blaOXA-244,ST10,Slovenia
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-48,ST10,Spain
blaOXA-244,ST10,Others
blaOXA-48,ST10,Switzerland
blaOXA-244,ST10,United Kingdom
blaOXA-244,ST10,United Kingdom
blaOXA-244,ST10,United Kingdom
blaOXA-244,ST10,United Kingdom
blaOXA-244,ST10,Canada
blaOXA-48,ST10,Canada
blaOXA-181,ST10,USA
blaOXA-181,ST10,USA
blaOXA-181,ST10,USA
blaOXA-244,ST10,USA
blaOXA-244,ST10,USA
blaOXA-244,ST10,USA
blaOXA-48,ST10,USA
blaOXA-244,ST10,Australia
blaOXA-181,ST10,New Zealand
blaOXA-181,ST10,New Zealand
blaOXA-48,Other STs,Netherlands
blaOXA-48,Other STs,Spain
blaOXA-48,Other STs,Others
blaOXA-48,Other STs,Spain
blaOXA-244,Other STs,USA
blaOXA-244,Other STs,USA
blaOXA-48,Other STs,Spain
blaOXA-48,Other STs,Spain
blaOXA-48,Other STs,Spain
blaOXA-48,Other STs,Qatar
blaOXA-48,Other STs,United Kingdom
blaOXA-48,Other STs,United Kingdom
blaOXA-48,Other STs,USA
blaOXA-48,Other STs,United Kingdom
blaOXA-48,Other STs,United Kingdom
blaOXA-48,Other STs,USA
blaOXA-48,Other STs,New Zealand
blaOXA-48,Other STs,Others
blaOXA-245,Other STs,Spain
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-181,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-244,ST38,Norway
blaOXA-48,ST38,Australia
blaOXA-48,ST38,Switzerland
blaOXA-48,ST38,Switzerland
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-48,ST38,Germany
blaOXA-48,ST38,Switzerland
blaOXA-48,ST38,Lebanon
blaOXA-48,ST38,Switzerland
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-48,ST38,Norway
blaOXA-181,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,Lebanon
blaOXA-48,ST38,Lebanon
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,Canada
blaOXA-48,ST38,Canada
blaOXA-48,ST38,Canada
blaOXA-48,ST38,Canada
blaOXA-48,ST38,Canada
blaOXA-244,ST38,Canada
blaOXA-181,ST38,United Kingdom
blaOXA-244,ST38,USA
blaOXA-244,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,USA
blaOXA-181,ST38,Canada
blaOXA-48,ST38,Australia
blaOXA-48,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-181,ST38,Australia
blaOXA-244,ST38,USA
blaOXA-181,ST38,USA
blaOXA-48,ST38,Qatar
blaOXA-244,ST38,Qatar
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-48,ST38,Lebanon
blaOXA-48,ST38,Spain
blaOXA-48,ST38,Switzerland
blaOXA-181,ST38,USA
blaOXA-232,ST38,India
blaOXA-232,ST38,India
blaOXA-232,ST38,India
blaOXA-244,ST38,USA
blaOXA-48,ST38,Spain
blaOXA-48,ST38,Qatar
blaOXA-48,ST38,Qatar
blaOXA-48,ST38,Qatar
blaOXA-48,ST38,Qatar
blaOXA-181,ST38,Qatar
blaOXA-48,ST38,USA
blaOXA-244,ST38,Qatar
blaOXA-244,ST38,Qatar
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-181,ST38,USA
blaOXA-244,ST38,Norway
blaOXA-48,ST38,Qatar
blaOXA-244,ST38,Qatar
blaOXA-244,ST38,Qatar
blaOXA-244,ST38,Qatar
blaOXA-244,ST38,Qatar
blaOXA-48,ST38,Germany
blaOXA-48,ST38,Germany
blaOXA-48,ST38,Germany
blaOXA-48,ST38,Germany
blaOXA-48,ST38,Germany
blaOXA-48,ST38,Germany
blaOXA-48,ST38,Germany
blaOXA-244,ST38,Germany
blaOXA-48,ST38,Germany
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-48,ST38,Netherlands
blaOXA-244,ST38,Germany
blaOXA-244,ST38,Qatar
blaOXA-244,ST38,Qatar
blaOXA-48,ST38,Canada
blaOXA-48,ST38,Canada
blaOXA-181,ST38,Australia
blaOXA-48,ST38,Australia
blaOXA-48,ST38,Australia
blaOXA-244,ST38,Australia
blaOXA-48,ST38,Australia
blaOXA-48,ST38,Australia
blaOXA-181,ST38,Singapore
blaOXA-181,ST38,Singapore
blaOXA-181,ST38,Singapore
blaOXA-48,ST38,USA
blaOXA-244,ST38,USA
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-48,ST38,USA
blaOXA-48,ST38,USA
blaOXA-48,ST38,USA
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,Netherlands
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,USA
blaOXA-48,ST38,USA
blaOXA-48,ST38,USA
blaOXA-48,ST38,USA
blaOXA-48,ST38,Spain
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,Others
blaOXA-48,ST38,USA
blaOXA-244,ST38,USA
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-244,ST38,Netherlands
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-181,ST38,USA
blaOXA-244,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-48,ST38,United Kingdom
blaOXA-244,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
blaOXA-181,ST38,United Kingdom
