BioSample,Assembly ,variants,Assembly Level,Host Source,Country,Continent,Year,MLST
SAMD00062420,GCA_021528335.1,blaOXA-181,Contig,Human,Nepal,Asia,2013,167
SAMD00099781,GCA_013012375.1,blaOXA-181,Contig,Human,Myanmar,Asia,2016,167
SAMD00099784,GCA_013012205.1,blaOXA-181,Contig,Human,Myanmar,Asia,2016,410
SAMD00099785,GCA_013012325.1,blaOXA-181,Contig,Human,Myanmar,Asia,2016,410
SAMD00111733,GCA_017729155.1,blaOXA-181,Contig,Human,Thailand,Asia,2012,410
SAMD00135338,GCA_020265865.1,blaOXA-181,Contig,Human,Indonesia,Asia,Unknown,410
SAMD00137751,GCA_018072885.1,blaOXA-181,Contig,Human,Thailand,Asia,2015,410
SAMD00137755,GCA_017902315.1,blaOXA-181,Contig,Human,Thailand,Asia,2015,410
SAMD00137756,GCA_017903035.1,blaOXA-181,Contig,Human,Thailand,Asia,2015,410
SAMD00137758,GCA_017902295.1,blaOXA-181,Contig,Human,Thailand,Asia,2015,410
SAMD00137762,GCA_017902915.1,blaOXA-181,Contig,Human,Thailand,Asia,2015,410
SAMD00137768,GCA_017902275.1,blaOXA-181,Contig,Human,Thailand,Asia,2015,1340
SAMD00137770,GCA_018072825.1,blaOXA-181,Contig,Human,Thailand,Asia,2015,1340
SAMD00137782,GCA_018072845.1,blaOXA-181,Contig,Human,Thailand,Asia,2015,410
SAMD00137786,GCA_017902795.1,blaOXA-181,Contig,Human,Thailand,Asia,2016,410
SAMD00137919,GCA_017901955.1,blaOXA-48,Contig,Human,Thailand,Asia,2016,131
SAMD00217188,GCA_013161815.1,blaOXA-48,Contig,Human,Malawi,Africa,2017,617
SAMD00282665,GCA_017733215.1,blaOXA-181,Contig,Human,Myanmar,Asia,2018,410
SAMD00282669,GCA_017733115.1,blaOXA-181,Contig,Human,Myanmar,Asia,2018,8346
SAMD00330149,GCA_032833515.1,blaOXA-48,Contig,Human,Viet Nam,Asia,2019,410
SAMD00330194,GCA_032832795.1,blaOXA-181,Contig,Human,Viet Nam,Asia,2018,131
SAMD00392767,GCA_032572055.1,blaOXA-48,Contig,Human,Thailand,Asia,2017,8346
SAMD00392772,GCA_032571815.1,blaOXA-181,Contig,Human,Thailand,Asia,2017,354
SAMD00399219,GCA_019975215.1,blaOXA-48,Contig,Human,Viet Nam,Asia,2015,457
SAMD00498350,GCA_031818335.1,blaOXA-232,Contig,Human,Japan,Asia,2019,940
SAMD00498895,GCA_030920565.1,blaOXA-181,Contig,Human,Japan,Asia,2019,448
SAMD00499320,GCA_029963065.1,blaOXA-48,Contig,Human,Japan,Asia,2019,131
SAMD00499794,GCA_031654475.1,blaOXA-181,Contig,Human,Japan,Asia,2019,38
SAMD00502403,GCA_031515245.1,blaOXA-181,Contig,Human,Japan,Asia,2020,648
SAMD00533653,GCA_026001065.1,blaOXA-48,Complete Genome,Human,Cambodia,Asia,Unknown,410
SAMD00607271,GCA_033056855.1,blaOXA-181,Contig,Food,Bangladesh,Asia,2021,167
SAMD00634756,GCA_031586955.1,blaOXA-181,Contig,Human,Japan,Asia,2019,205
SAMEA10032336,GCA_918365665.1,blaOXA-48,Scaffold,Human,France,Europe,2018,10
SAMEA103915296,GCA_900169935.1,blaOXA-48,Scaffold,Unknown,Unknown,Unknown,Unknown,38
SAMEA103915298,GCA_900169595.1,blaOXA-48,Contig,Unknown,Unknown,Unknown,Unknown,38
SAMEA103915299,GCA_900169775.1,blaOXA-48,Scaffold,Unknown,Unknown,Unknown,Unknown,38
SAMEA103915300,GCA_900169875.1,blaOXA-48,Scaffold,Unknown,Unknown,Unknown,Unknown,38
SAMEA104077104,GCA_018020215.1,blaOXA-48,Contig,Human,Ireland,Europe,2016,131
